"","team","h_a","match_id","Date","FTHG","FTAG","FTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","scored","conceded","result","pts","HtrgPerc","AtrgPerc","wins","draws","losses","cum_points","cum_goal","cum_con","shots","shots_target","yellow_cards","red_cards","fouls","corners","opposition"
"343","Aston Villa","h",172,2019-12-21,1,3,"A","C Pawson",19,17,6,8,16,15,7,5,2,1,0,0,2.4,3.6,2.8,1,3,"l",0,0.315789473684211,0.470588235294118,0,0,1,15,24,33,19,6,2,0,16,7,"Southampton"
"344","Southampton","a",172,2019-12-21,1,3,"A","C Pawson",19,17,6,8,16,15,7,5,2,1,0,0,2.4,3.6,2.8,3,1,"w",3,0.315789473684211,0.470588235294118,1,0,0,18,21,37,17,8,1,0,15,5,"Aston Villa"
"345","Bournemouth","h",173,2019-12-21,0,1,"A","M Atkinson",3,2,0,1,13,21,4,5,2,4,0,0,2.4,3.4,2.9,0,1,"l",0,0,0.5,0,0,1,19,19,25,3,0,2,0,13,4,"Burnley"
"346","Burnley","a",173,2019-12-21,0,1,"A","M Atkinson",3,2,0,1,13,21,4,5,2,4,0,0,2.4,3.4,2.9,1,0,"w",3,0,0.5,1,0,0,24,23,29,2,1,4,0,21,5,"Bournemouth"
"347","Brighton","h",174,2019-12-21,0,1,"A","R Jones",9,7,2,2,6,11,4,3,1,3,0,0,2.2,3.25,3.5,0,1,"l",0,0.222222222222222,0.285714285714286,0,0,1,20,21,26,9,2,1,0,6,4,"Sheffield United"
"348","Sheffield United","a",174,2019-12-21,0,1,"A","R Jones",9,7,2,2,6,11,4,3,1,3,0,0,2.2,3.25,3.5,1,0,"w",3,0.222222222222222,0.285714285714286,1,0,0,28,22,16,7,2,3,0,11,3,"Brighton"
"349","Newcastle","h",175,2019-12-21,1,0,"H","S Hooper",8,16,3,4,12,11,4,5,2,0,0,0,2.37,3.1,3.25,1,0,"w",3,0.375,0.25,1,0,0,25,18,24,8,3,2,0,12,4,"Crystal Palace"
"350","Crystal Palace","a",175,2019-12-21,1,0,"H","S Hooper",8,16,3,4,12,11,4,5,2,0,0,0,2.37,3.1,3.25,0,1,"l",0,0.375,0.25,0,0,1,23,15,20,16,4,0,0,11,5,"Newcastle"
"351","Norwich","h",176,2019-12-21,1,2,"A","P Bankes",13,14,7,4,7,14,3,11,2,4,0,0,3.75,3.8,1.9,1,2,"l",0,0.538461538461538,0.285714285714286,0,0,1,12,19,37,13,7,2,0,7,3,"Wolves"
"352","Wolves","a",176,2019-12-21,1,2,"A","P Bankes",13,14,7,4,7,14,3,11,2,4,0,0,3.75,3.8,1.9,2,1,"w",3,0.538461538461538,0.285714285714286,1,0,0,27,26,22,14,4,4,0,14,11,"Norwich"
"353","Man City","h",177,2019-12-21,3,1,"H","M Dean",23,5,12,2,14,9,6,1,2,2,0,0,1.36,5.25,7.5,3,1,"w",3,0.521739130434783,0.4,1,0,0,38,50,20,23,12,2,0,14,6,"Leicester"
"354","Leicester","a",177,2019-12-21,3,1,"H","M Dean",23,5,12,2,14,9,6,1,2,2,0,0,1.36,5.25,7.5,1,3,"l",0,0.521739130434783,0.4,0,0,1,39,41,14,5,2,2,0,9,1,"Man City"
"355","Watford","h",178,2019-12-22,2,0,"H","L Mason",11,17,3,8,16,11,3,5,3,1,0,0,4.33,4,1.75,2,0,"w",3,0.272727272727273,0.470588235294118,1,0,0,12,11,32,11,3,3,0,16,3,"Man United"
"356","Man United","a",178,2019-12-22,2,0,"H","L Mason",11,17,3,8,16,11,3,5,3,1,0,0,4.33,4,1.75,0,2,"l",0,0.272727272727273,0.470588235294118,0,0,1,25,26,22,17,8,1,0,11,5,"Watford"
"357","Tottenham","h",179,2019-12-22,0,2,"A","A Taylor",5,13,1,3,9,11,3,5,4,3,1,0,2.37,3.75,2.75,0,2,"l",0,0.2,0.230769230769231,0,0,1,26,32,26,5,1,4,1,9,3,"Chelsea"
"358","Chelsea","a",179,2019-12-22,0,2,"A","A Taylor",5,13,1,3,9,11,3,5,4,3,1,0,2.37,3.75,2.75,2,0,"w",3,0.2,0.230769230769231,1,0,0,32,33,25,13,3,3,0,11,5,"Tottenham"
"359","Tottenham","h",180,2019-12-26,2,1,"H","G Scott",11,11,5,5,10,9,9,2,4,2,0,0,1.53,4.33,6,2,1,"w",3,0.454545454545455,0.454545454545455,1,0,0,29,34,27,11,5,4,0,10,9,"Brighton"
"360","Brighton","a",180,2019-12-26,2,1,"H","G Scott",11,11,5,5,10,9,9,2,4,2,0,0,1.53,4.33,6,1,2,"l",0,0.454545454545455,0.454545454545455,0,0,1,20,22,28,11,5,2,0,9,2,"Tottenham"
"361","Aston Villa","h",181,2019-12-26,1,0,"H","C Kavanagh",11,16,2,6,15,12,5,8,2,3,0,0,2.1,3.75,3.3,1,0,"w",3,0.181818181818182,0.375,1,0,0,18,25,33,11,2,2,0,15,5,"Norwich"
"362","Norwich","a",181,2019-12-26,1,0,"H","C Kavanagh",11,16,2,6,15,12,5,8,2,3,0,0,2.1,3.75,3.3,0,1,"l",0,0.181818181818182,0.375,0,0,1,12,19,38,16,6,3,0,12,8,"Aston Villa"
"363","Bournemouth","h",182,2019-12-26,1,1,"D","S Attwell",12,17,4,2,5,13,8,3,4,4,0,0,3.5,3.9,1.95,1,1,"d",1,0.333333333333333,0.117647058823529,0,1,0,20,20,26,12,4,4,0,5,8,"Arsenal"
"364","Arsenal","a",182,2019-12-26,1,1,"D","S Attwell",12,17,4,2,5,13,8,3,4,4,0,0,3.5,3.9,1.95,1,1,"d",1,0.333333333333333,0.117647058823529,0,1,0,24,25,28,17,2,4,0,13,3,"Bournemouth"
"365","Chelsea","h",183,2019-12-26,0,2,"A","J Moss",10,5,3,3,10,9,8,1,3,2,0,0,1.33,5.25,9,0,2,"l",0,0.3,0.6,0,0,1,32,33,27,10,3,3,0,10,8,"Southampton"
"366","Southampton","a",183,2019-12-26,0,2,"A","J Moss",10,5,3,3,10,9,8,1,3,2,0,0,1.33,5.25,9,2,0,"w",3,0.3,0.6,1,0,0,21,23,37,5,3,2,0,9,1,"Chelsea"
"367","Crystal Palace","h",184,2019-12-26,2,1,"H","A Marriner",13,10,4,2,5,10,7,6,0,2,0,0,2.3,3.4,3.1,2,1,"w",3,0.307692307692308,0.2,1,0,0,26,17,21,13,4,0,0,5,7,"West Ham"
"368","West Ham","a",184,2019-12-26,2,1,"H","A Marriner",13,10,4,2,5,10,7,6,0,2,0,0,2.3,3.4,3.1,1,2,"l",0,0.307692307692308,0.2,0,0,1,19,20,30,10,2,2,0,10,6,"Crystal Palace"
"369","Everton","h",185,2019-12-26,1,0,"H","A Taylor",21,6,5,0,15,14,10,2,0,0,0,0,1.7,3.75,5,1,0,"w",3,0.238095238095238,0,1,0,0,22,21,29,21,5,0,0,15,10,"Burnley"
"370","Burnley","a",185,2019-12-26,1,0,"H","A Taylor",21,6,5,0,15,14,10,2,0,0,0,0,1.7,3.75,5,0,1,"l",0,0.238095238095238,0,0,0,1,24,23,30,6,0,0,0,14,2,"Everton"
"371","Sheffield United","h",186,2019-12-26,1,1,"D","D Coote",16,5,4,2,11,8,9,1,1,3,0,0,1.83,3.6,4.33,1,1,"d",1,0.25,0.4,0,1,0,29,23,17,16,4,1,0,11,9,"Watford"
"372","Watford","a",186,2019-12-26,1,1,"D","D Coote",16,5,4,2,11,8,9,1,1,3,0,0,1.83,3.6,4.33,1,1,"d",1,0.25,0.4,0,1,0,13,12,33,5,2,3,0,8,1,"Sheffield United"
"373","Man United","h",187,2019-12-26,4,1,"H","K Friend",22,7,10,2,10,7,5,0,2,2,0,0,1.33,5.25,9,4,1,"w",3,0.454545454545455,0.285714285714286,1,0,0,28,30,23,22,10,2,0,10,5,"Newcastle"
"374","Newcastle","a",187,2019-12-26,4,1,"H","K Friend",22,7,10,2,10,7,5,0,2,2,0,0,1.33,5.25,9,1,4,"l",0,0.454545454545455,0.285714285714286,0,0,1,25,19,28,7,2,2,0,7,0,"Man United"
"375","Leicester","h",188,2019-12-26,0,4,"A","M Oliver",3,15,0,6,5,7,2,8,1,1,0,0,3.4,3.75,2.05,0,4,"l",0,0,0.4,0,0,1,39,41,18,3,0,1,0,5,2,"Liverpool"
"376","Liverpool","a",188,2019-12-26,0,4,"A","M Oliver",3,15,0,6,5,7,2,8,1,1,0,0,3.4,3.75,2.05,4,0,"w",3,0,0.4,1,0,0,52,46,14,15,6,1,0,7,8,"Leicester"
"377","Wolves","h",189,2019-12-27,3,2,"H","M Atkinson",20,7,8,3,7,13,3,1,0,1,0,1,8.5,5,1.36,3,2,"w",3,0.4,0.428571428571429,1,0,0,30,29,24,20,8,0,0,7,3,"Man City"
"378","Man City","a",189,2019-12-27,3,2,"H","M Atkinson",20,7,8,3,7,13,3,1,0,1,0,1,8.5,5,1.36,2,3,"l",0,0.4,0.428571428571429,0,0,1,38,52,23,7,3,1,1,13,1,"Wolves"
"379","Brighton","h",190,2019-12-28,2,0,"H","P Tierney",16,10,6,2,8,11,9,2,0,2,0,0,1.75,3.9,4.33,2,0,"w",3,0.375,0.2,1,0,0,23,24,28,16,6,0,0,8,9,"Bournemouth"
"380","Bournemouth","a",190,2019-12-28,2,0,"H","P Tierney",16,10,6,2,8,11,9,2,0,2,0,0,1.75,3.9,4.33,0,2,"l",0,0.375,0.2,0,0,1,20,20,28,10,2,2,0,11,2,"Brighton"
"381","Newcastle","h",191,2019-12-28,1,2,"A","L Mason",20,22,5,9,13,13,5,8,2,2,0,0,3.6,3.4,2.05,1,2,"l",0,0.25,0.409090909090909,0,0,1,25,20,30,20,5,2,0,13,5,"Everton"
"382","Everton","a",191,2019-12-28,1,2,"A","L Mason",20,22,5,9,13,13,5,8,2,2,0,0,3.6,3.4,2.05,2,1,"w",3,0.25,0.409090909090909,1,0,0,25,23,30,22,9,2,0,13,8,"Newcastle"
"383","Southampton","h",192,2019-12-28,1,1,"D","A Madley",14,5,5,2,13,7,12,4,1,2,0,0,1.95,3.6,3.8,1,1,"d",1,0.357142857142857,0.4,0,1,0,22,24,38,14,5,1,0,13,12,"Crystal Palace"
"384","Crystal Palace","a",192,2019-12-28,1,1,"D","A Madley",14,5,5,2,13,7,12,4,1,2,0,0,1.95,3.6,3.8,1,1,"d",1,0.357142857142857,0.4,0,1,0,27,18,22,5,2,2,0,7,4,"Southampton"
"385","Watford","h",193,2019-12-28,3,0,"H","S Hooper",20,11,6,2,16,9,6,3,3,1,1,0,1.95,3.8,3.6,3,0,"w",3,0.3,0.181818181818182,1,0,0,16,15,33,20,6,3,1,16,6,"Aston Villa"
"386","Aston Villa","a",193,2019-12-28,3,0,"H","S Hooper",20,11,6,2,16,9,6,3,3,1,1,0,1.95,3.8,3.6,0,3,"l",0,0.3,0.181818181818182,0,0,1,18,25,36,11,2,1,0,9,3,"Watford"
"387","Norwich","h",194,2019-12-28,2,2,"D","K Friend",5,15,2,7,12,10,4,6,3,3,0,0,5,4,1.66,2,2,"d",1,0.4,0.466666666666667,0,1,0,13,21,40,5,2,3,0,12,4,"Tottenham"
"388","Tottenham","a",194,2019-12-28,2,2,"D","K Friend",5,15,2,7,12,10,4,6,3,3,0,0,5,4,1.66,2,2,"d",1,0.4,0.466666666666667,0,1,0,30,36,29,15,7,3,0,10,6,"Norwich"
"389","West Ham","h",195,2019-12-28,1,2,"A","D Coote",14,13,4,8,16,4,5,5,4,1,0,0,4,3.9,1.83,1,2,"l",0,0.285714285714286,0.615384615384615,0,0,1,19,21,32,14,4,4,0,16,5,"Leicester"
"390","Leicester","a",195,2019-12-28,1,2,"A","D Coote",14,13,4,8,16,4,5,5,4,1,0,0,4,3.9,1.83,2,1,"w",3,0.285714285714286,0.615384615384615,1,0,0,42,43,19,13,8,1,0,4,5,"West Ham"
"391","Burnley","h",196,2019-12-28,0,2,"A","M Dean",8,14,1,5,17,10,5,4,4,3,0,0,4.33,3.75,1.8,0,2,"l",0,0.125,0.357142857142857,0,0,1,24,23,32,8,1,4,0,17,5,"Man United"
"392","Man United","a",196,2019-12-28,0,2,"A","M Dean",8,14,1,5,17,10,5,4,4,3,0,0,4.33,3.75,1.8,2,0,"w",3,0.125,0.357142857142857,1,0,0,31,32,23,14,5,3,0,10,4,"Burnley"
"393","Arsenal","h",197,2019-12-29,1,2,"A","C Pawson",7,13,2,4,13,19,2,3,5,4,0,0,2.87,3.75,2.3,1,2,"l",0,0.285714285714286,0.307692307692308,0,0,1,24,26,30,7,2,5,0,13,2,"Chelsea"
"394","Chelsea","a",197,2019-12-29,1,2,"A","C Pawson",7,13,2,4,13,19,2,3,5,4,0,0,2.87,3.75,2.3,2,1,"w",3,0.285714285714286,0.307692307692308,1,0,0,35,35,28,13,4,4,0,19,3,"Arsenal"
"395","Liverpool","h",198,2019-12-29,1,0,"H","A Taylor",10,10,3,2,7,3,5,6,1,0,0,0,1.25,5.75,12,1,0,"w",3,0.3,0.2,1,0,0,55,47,14,10,3,1,0,7,5,"Wolves"
"396","Wolves","a",198,2019-12-29,1,0,"H","A Taylor",10,10,3,2,7,3,5,6,1,0,0,0,1.25,5.75,12,0,1,"l",0,0.3,0.2,0,0,1,30,29,25,10,2,0,0,3,6,"Liverpool"
"397","Man City","h",199,2019-12-29,2,0,"H","C Kavanagh",16,8,4,0,5,6,8,5,1,1,0,0,1.16,7.5,16,2,0,"w",3,0.25,0,1,0,0,41,54,23,16,4,1,0,5,8,"Sheffield United"
"398","Sheffield United","a",199,2019-12-29,2,0,"H","C Kavanagh",16,8,4,0,5,6,8,5,1,1,0,0,1.16,7.5,16,0,2,"l",0,0.25,0,0,0,1,29,23,19,8,0,1,0,6,5,"Man City"
"399","Brighton","h",200,2020-01-01,1,1,"D","S Attwell",16,16,5,5,8,15,5,3,2,3,0,0,3.6,3.6,1.95,1,1,"d",1,0.3125,0.3125,0,1,0,24,25,29,16,5,2,0,8,5,"Chelsea"
"400","Chelsea","a",200,2020-01-01,1,1,"D","S Attwell",16,16,5,5,8,15,5,3,2,3,0,0,3.6,3.6,1.95,1,1,"d",1,0.3125,0.3125,0,1,0,36,36,29,16,5,3,0,15,3,"Brighton"
"401","Burnley","h",201,2020-01-01,1,2,"A","M Oliver",20,11,1,6,12,10,8,4,1,1,0,0,1.75,3.8,4.33,1,2,"l",0,0.05,0.545454545454545,0,0,1,24,24,34,20,1,1,0,12,8,"Aston Villa"
"402","Aston Villa","a",201,2020-01-01,1,2,"A","M Oliver",20,11,1,6,12,10,8,4,1,1,0,0,1.75,3.8,4.33,2,1,"w",3,0.05,0.545454545454545,1,0,0,21,27,37,11,6,1,0,10,4,"Burnley"
"403","Newcastle","h",202,2020-01-01,0,3,"A","M Atkinson",5,17,2,10,8,12,4,5,1,1,0,0,5,3.8,1.66,0,3,"l",0,0.4,0.588235294117647,0,0,1,25,20,33,5,2,1,0,8,4,"Leicester"
"404","Leicester","a",202,2020-01-01,0,3,"A","M Atkinson",5,17,2,10,8,12,4,5,1,1,0,0,5,3.8,1.66,3,0,"w",3,0.4,0.588235294117647,1,0,0,45,46,19,17,10,1,0,12,5,"Newcastle"
"405","Southampton","h",203,2020-01-01,1,0,"H","M Dean",12,11,3,5,21,8,6,9,3,4,0,0,3.3,3.5,2.1,1,0,"w",3,0.25,0.454545454545455,1,0,0,25,25,38,12,3,3,0,21,6,"Tottenham"
"406","Tottenham","a",203,2020-01-01,1,0,"H","M Dean",12,11,3,5,21,8,6,9,3,4,0,0,3.3,3.5,2.1,0,1,"l",0,0.25,0.454545454545455,0,0,1,30,36,30,11,5,4,0,8,9,"Southampton"
"407","Watford","h",204,2020-01-01,2,1,"H","A Madley",9,16,3,4,12,6,4,7,3,1,1,0,3,3.4,2.3,2,1,"w",3,0.333333333333333,0.25,1,0,0,19,17,34,9,3,3,1,12,4,"Wolves"
"408","Wolves","a",204,2020-01-01,2,1,"H","A Madley",9,16,3,4,12,6,4,7,3,1,1,0,3,3.4,2.3,1,2,"l",0,0.333333333333333,0.25,0,0,1,30,30,27,16,4,1,0,6,7,"Watford"
"409","Man City","h",205,2020-01-01,2,1,"H","A Marriner",16,7,7,2,11,11,3,6,0,4,0,0,1.25,6.5,10,2,1,"w",3,0.4375,0.285714285714286,1,0,0,44,56,24,16,7,0,0,11,3,"Everton"
"410","Everton","a",205,2020-01-01,2,1,"H","A Marriner",16,7,7,2,11,11,3,6,0,4,0,0,1.25,6.5,10,1,2,"l",0,0.4375,0.285714285714286,0,0,1,25,24,32,7,2,4,0,11,6,"Man City"
"411","Norwich","h",206,2020-01-01,1,1,"D","J Moss",15,12,4,3,12,9,2,5,5,0,0,0,2.5,3.4,2.75,1,1,"d",1,0.266666666666667,0.25,0,1,0,14,22,41,15,4,5,0,12,2,"Crystal Palace"
"412","Crystal Palace","a",206,2020-01-01,1,1,"D","J Moss",15,12,4,3,12,9,2,5,5,0,0,0,2.5,3.4,2.75,1,1,"d",1,0.266666666666667,0.25,0,1,0,28,19,23,12,3,0,0,9,5,"Norwich"
"413","West Ham","h",207,2020-01-01,4,0,"H","G Scott",14,3,7,2,3,12,9,2,1,2,0,0,1.9,3.75,3.8,4,0,"w",3,0.5,0.666666666666667,1,0,0,22,25,32,14,7,1,0,3,9,"Bournemouth"
"414","Bournemouth","a",207,2020-01-01,4,0,"H","G Scott",14,3,7,2,3,12,9,2,1,2,0,0,1.9,3.75,3.8,0,4,"l",0,0.5,0.666666666666667,0,0,1,20,20,32,3,2,2,0,12,2,"West Ham"
"415","Arsenal","h",208,2020-01-01,2,0,"H","C Kavanagh",10,10,4,4,11,15,1,4,2,0,0,0,2.55,3.6,2.62,2,0,"w",3,0.4,0.4,1,0,0,27,28,30,10,4,2,0,11,1,"Man United"
"416","Man United","a",208,2020-01-01,2,0,"H","C Kavanagh",10,10,4,4,11,15,1,4,2,0,0,0,2.55,3.6,2.62,0,2,"l",0,0.4,0.4,0,0,1,31,32,25,10,4,0,0,15,4,"Arsenal"
"417","Liverpool","h",209,2020-01-02,2,0,"H","P Tierney",19,3,7,2,5,8,8,4,0,0,0,0,1.2,6.5,13,2,0,"w",3,0.368421052631579,0.666666666666667,1,0,0,58,49,14,19,7,0,0,5,8,"Sheffield United"
"418","Sheffield United","a",209,2020-01-02,2,0,"H","P Tierney",19,3,7,2,5,8,8,4,0,0,0,0,1.2,6.5,13,0,2,"l",0,0.368421052631579,0.666666666666667,0,0,1,29,23,21,3,2,0,0,8,4,"Liverpool"
"419","Sheffield United","h",210,2020-01-10,1,0,"H","M Oliver",13,7,3,2,11,6,7,3,1,0,0,0,1.95,3.4,4,1,0,"w",3,0.230769230769231,0.285714285714286,1,0,0,32,24,21,13,3,1,0,11,7,"West Ham"
"420","West Ham","a",210,2020-01-10,1,0,"H","M Oliver",13,7,3,2,11,6,7,3,1,0,0,0,1.95,3.4,4,0,1,"l",0,0.230769230769231,0.285714285714286,0,0,1,22,25,33,7,2,0,0,6,3,"Sheffield United"
"421","Crystal Palace","h",211,2020-01-11,1,1,"D","P Tierney",6,7,3,4,14,22,1,4,2,3,0,1,4.1,3.9,1.8,1,1,"d",1,0.5,0.571428571428571,0,1,0,29,20,24,6,3,2,0,14,1,"Arsenal"
"422","Arsenal","a",211,2020-01-11,1,1,"D","P Tierney",6,7,3,4,14,22,1,4,2,3,0,1,4.1,3.9,1.8,1,1,"d",1,0.5,0.571428571428571,0,1,0,28,29,31,7,4,3,1,22,4,"Crystal Palace"
"423","Chelsea","h",212,2020-01-11,3,0,"H","K Friend",18,7,8,2,7,4,10,3,0,3,0,0,1.28,5.5,11,3,0,"w",3,0.444444444444444,0.285714285714286,1,0,0,39,39,29,18,8,0,0,7,10,"Burnley"
"424","Burnley","a",212,2020-01-11,3,0,"H","K Friend",18,7,8,2,7,4,10,3,0,3,0,0,1.28,5.5,11,0,3,"l",0,0.444444444444444,0.285714285714286,0,0,1,24,24,37,7,2,3,0,4,3,"Chelsea"
"425","Everton","h",213,2020-01-11,1,0,"H","D Coote",14,9,6,2,7,7,4,3,2,1,0,0,1.85,3.8,4,1,0,"w",3,0.428571428571429,0.222222222222222,1,0,0,28,25,32,14,6,2,0,7,4,"Brighton"
"426","Brighton","a",213,2020-01-11,1,0,"H","D Coote",14,9,6,2,7,7,4,3,2,1,0,0,1.85,3.8,4,0,1,"l",0,0.428571428571429,0.222222222222222,0,0,1,24,25,30,9,2,1,0,7,3,"Everton"
"427","Leicester","h",214,2020-01-11,1,2,"A","L Mason",5,16,5,10,9,17,2,4,0,3,0,0,1.6,4,5.5,1,2,"l",0,1,0.625,0,0,1,45,47,21,5,5,0,0,9,2,"Southampton"
"428","Southampton","a",214,2020-01-11,1,2,"A","L Mason",5,16,5,10,9,17,2,4,0,3,0,0,1.6,4,5.5,2,1,"w",3,1,0.625,1,0,0,28,27,39,16,10,3,0,17,4,"Leicester"
"429","Man United","h",215,2020-01-11,4,0,"H","A Taylor",13,8,6,3,18,7,4,2,0,0,0,0,1.33,5.25,8.5,4,0,"w",3,0.461538461538462,0.375,1,0,0,34,36,25,13,6,0,0,18,4,"Norwich"
"430","Norwich","a",215,2020-01-11,4,0,"H","A Taylor",13,8,6,3,18,7,4,2,0,0,0,0,1.33,5.25,8.5,0,4,"l",0,0.461538461538462,0.375,0,0,1,14,22,45,8,3,0,0,7,2,"Man United"
"431","Wolves","h",216,2020-01-11,1,1,"D","P Bankes",9,5,4,1,13,12,5,2,0,3,0,0,1.44,4.5,7.5,1,1,"d",1,0.444444444444444,0.2,0,1,0,31,31,28,9,4,0,0,13,5,"Newcastle"
"432","Newcastle","a",216,2020-01-11,1,1,"D","P Bankes",9,5,4,1,13,12,5,2,0,3,0,0,1.44,4.5,7.5,1,1,"d",1,0.444444444444444,0.2,0,1,0,26,21,34,5,1,3,0,12,2,"Wolves"
"433","Tottenham","h",217,2020-01-11,0,1,"A","M Atkinson",14,13,4,7,4,8,4,3,0,2,0,0,4.5,4.33,1.66,0,1,"l",0,0.285714285714286,0.538461538461538,0,0,1,30,36,31,14,4,0,0,4,4,"Liverpool"
"434","Liverpool","a",217,2020-01-11,0,1,"A","M Atkinson",14,13,4,7,4,8,4,3,0,2,0,0,4.5,4.33,1.66,1,0,"w",3,0.285714285714286,0.538461538461538,1,0,0,61,50,14,13,7,2,0,8,3,"Tottenham"
"435","Bournemouth","h",218,2020-01-12,0,3,"A","M Dean",10,18,1,6,3,13,5,5,1,1,0,0,2.6,3.3,2.7,0,3,"l",0,0.1,0.333333333333333,0,0,1,20,20,35,10,1,1,0,3,5,"Watford"
"436","Watford","a",218,2020-01-12,0,3,"A","M Dean",10,18,1,6,3,13,5,5,1,1,0,0,2.6,3.3,2.7,3,0,"w",3,0.1,0.333333333333333,1,0,0,22,20,34,18,6,1,0,13,5,"Bournemouth"
"437","Aston Villa","h",219,2020-01-12,1,6,"A","J Moss",7,22,1,12,5,12,2,4,2,1,0,0,13,8.5,1.16,1,6,"l",0,0.142857142857143,0.545454545454545,0,0,1,21,28,43,7,1,2,0,5,2,"Man City"
"438","Man City","a",219,2020-01-12,1,6,"A","J Moss",7,22,1,12,5,12,2,4,2,1,0,0,13,8.5,1.16,6,1,"w",3,0.142857142857143,0.545454545454545,1,0,0,47,62,25,22,12,1,0,12,4,"Aston Villa"
"439","Watford","h",220,2020-01-18,0,0,"D","M Oliver",15,17,2,5,13,13,3,3,2,3,0,0,3.25,3.5,2.2,0,0,"d",1,0.133333333333333,0.294117647058824,0,1,0,23,20,34,15,2,2,0,13,3,"Tottenham"
"440","Tottenham","a",220,2020-01-18,0,0,"D","M Oliver",15,17,2,5,13,13,3,3,2,3,0,0,3.25,3.5,2.2,0,0,"d",1,0.133333333333333,0.294117647058824,0,1,0,31,36,31,17,5,3,0,13,3,"Watford"
"441","Arsenal","h",221,2020-01-18,1,1,"D","M Dean",11,12,4,4,9,13,4,5,1,2,0,0,1.83,3.6,4.33,1,1,"d",1,0.363636363636364,0.333333333333333,0,1,0,29,30,32,11,4,1,0,9,4,"Sheffield United"
"442","Sheffield United","a",221,2020-01-18,1,1,"D","M Dean",11,12,4,4,9,13,4,5,1,2,0,0,1.83,3.6,4.33,1,1,"d",1,0.363636363636364,0.333333333333333,0,1,0,33,25,22,12,4,2,0,13,5,"Arsenal"
"443","Brighton","h",222,2020-01-18,1,1,"D","A Madley",10,8,2,3,11,13,3,4,3,3,0,0,1.66,4,5,1,1,"d",1,0.2,0.375,0,1,0,25,26,31,10,2,3,0,11,3,"Aston Villa"
"444","Aston Villa","a",222,2020-01-18,1,1,"D","A Madley",10,8,2,3,11,13,3,4,3,3,0,0,1.66,4,5,1,1,"d",1,0.2,0.375,0,1,0,22,29,44,8,3,3,0,13,4,"Brighton"
"445","Man City","h",223,2020-01-18,2,2,"D","S Scott",25,5,6,3,9,7,14,2,1,2,0,0,1.1,11,19,2,2,"d",1,0.24,0.6,0,1,0,48,64,27,25,6,1,0,9,14,"Crystal Palace"
"446","Crystal Palace","a",223,2020-01-18,2,2,"D","S Scott",25,5,6,3,9,7,14,2,1,2,0,0,1.1,11,19,2,2,"d",1,0.24,0.6,0,1,0,30,22,26,5,3,2,0,7,2,"Man City"
"447","Norwich","h",224,2020-01-18,1,0,"H","P Tierney",16,6,5,3,10,10,4,5,2,2,1,1,2.2,3.5,3.25,1,0,"w",3,0.3125,0.5,1,0,0,17,23,45,16,5,2,1,10,4,"Bournemouth"
"448","Bournemouth","a",224,2020-01-18,1,0,"H","P Tierney",16,6,5,3,10,10,4,5,2,2,1,1,2.2,3.5,3.25,0,1,"l",0,0.3125,0.5,0,0,1,20,20,36,6,3,2,1,10,5,"Norwich"
"449","Southampton","h",225,2020-01-18,2,3,"A","D England",11,8,5,4,13,12,1,3,2,1,0,0,2.4,3.4,3,2,3,"l",0,0.454545454545455,0.5,0,0,1,28,29,42,11,5,2,0,13,1,"Wolves"
"450","Wolves","a",225,2020-01-18,2,3,"A","D England",11,8,5,4,13,12,1,3,2,1,0,0,2.4,3.4,3,3,2,"w",3,0.454545454545455,0.5,1,0,0,34,34,30,8,4,1,0,12,3,"Southampton"
"451","West Ham","h",226,2020-01-18,1,1,"D","A Marriner",12,11,6,3,11,13,7,6,1,0,0,0,2.9,3.5,2.37,1,1,"d",1,0.5,0.272727272727273,0,1,0,23,26,34,12,6,1,0,11,7,"Everton"
"452","Everton","a",226,2020-01-18,1,1,"D","A Marriner",12,11,6,3,11,13,7,6,1,0,0,0,2.9,3.5,2.37,1,1,"d",1,0.5,0.272727272727273,0,1,0,29,26,33,11,3,0,0,13,6,"West Ham"
"453","Newcastle","h",227,2020-01-18,1,0,"H","C Kavanagh",7,19,2,4,9,14,1,10,1,1,0,0,6,4.5,1.5,1,0,"w",3,0.285714285714286,0.210526315789474,1,0,0,29,22,34,7,2,1,0,9,1,"Chelsea"
"454","Chelsea","a",227,2020-01-18,1,0,"H","C Kavanagh",7,19,2,4,9,14,1,10,1,1,0,0,6,4.5,1.5,0,1,"l",0,0.285714285714286,0.210526315789474,0,0,1,39,39,30,19,4,1,0,14,10,"Newcastle"
"455","Burnley","h",228,2020-01-19,2,1,"H","A Taylor",8,18,5,8,14,8,4,5,1,0,0,0,4.33,3.75,1.83,2,1,"w",3,0.625,0.444444444444444,1,0,0,27,26,38,8,5,1,0,14,4,"Leicester"
"456","Leicester","a",228,2020-01-19,2,1,"H","A Taylor",8,18,5,8,14,8,4,5,1,0,0,0,4.33,3.75,1.83,1,2,"l",0,0.625,0.444444444444444,0,0,1,45,48,23,18,8,0,0,8,5,"Burnley"
"457","Liverpool","h",229,2020-01-19,2,0,"H","C Pawson",16,9,5,4,7,10,11,5,1,3,0,0,1.36,5.25,8,2,0,"w",3,0.3125,0.444444444444444,1,0,0,64,52,14,16,5,1,0,7,11,"Man United"
